attack_ID,attack_tactics
T1066,defense-evasion
T1047,execution
T1156,persistence
T1113,collection
T1067,persistence
T1037,lateral-movement
T1037,persistence
T1033,discovery
T1143,defense-evasion
T1161,persistence
T1150,defense-evasion
T1150,persistence
T1150,privilege-escalation
T1148,defense-evasion
T1003,credential-access
T1129,execution
T1492,impact
T1006,defense-evasion
T1044,persistence
T1044,privilege-escalation
T1171,credential-access
T1014,defense-evasion
T1501,persistence
T1123,collection
T1133,persistence
T1133,initial-access
T1109,defense-evasion
T1109,persistence
T1099,defense-evasion
T1069,discovery
T1114,collection
T1163,persistence
T1025,collection
T1116,defense-evasion
T1093,defense-evasion
T1172,command-and-control
T1178,privilege-escalation
T1013,persistence
T1013,privilege-escalation
T1192,initial-access
T1489,impact
T1121,defense-evasion
T1121,execution
T1206,privilege-escalation
T1063,discovery
T1080,lateral-movement
T1167,credential-access
T1180,persistence
T1165,persistence
T1165,privilege-escalation
T1137,persistence
T1089,defense-evasion
T1487,impact
T1214,credential-access
T1119,collection
T1115,collection
T1103,persistence
T1103,privilege-escalation
T1007,discovery
T1040,credential-access
T1040,discovery
T1017,lateral-movement
T1135,discovery
T1120,discovery
T1082,discovery
T1071,command-and-control
T1053,execution
T1053,persistence
T1053,privilege-escalation
T1162,persistence
T1176,persistence
T1106,execution
T1058,persistence
T1058,privilege-escalation
T1202,defense-evasion
T1024,command-and-control
T1091,lateral-movement
T1091,initial-access
T1005,collection
T1140,defense-evasion
T1195,initial-access
T1190,initial-access
T1219,command-and-control
T1079,command-and-control
T1036,defense-evasion
T1055,defense-evasion
T1055,privilege-escalation
T1139,credential-access
T1205,defense-evasion
T1205,persistence
T1205,command-and-control
T1218,defense-evasion
T1218,execution
T1153,execution
T1038,persistence
T1038,privilege-escalation
T1038,defense-evasion
T1050,persistence
T1050,privilege-escalation
T1010,discovery
T1032,command-and-control
T1062,persistence
T1182,persistence
T1182,privilege-escalation
T1029,exfiltration
T1004,persistence
T1009,defense-evasion
T1076,lateral-movement
T1011,exfiltration
T1131,persistence
T1181,defense-evasion
T1181,privilege-escalation
T1152,defense-evasion
T1152,execution
T1152,persistence
T1483,command-and-control
T1185,collection
T1021,lateral-movement
T1207,defense-evasion
T1107,defense-evasion
T1145,credential-access
T1112,defense-evasion
T1491,impact
T1155,execution
T1155,lateral-movement
T1217,discovery
T1183,privilege-escalation
T1183,persistence
T1183,defense-evasion
T1085,defense-evasion
T1085,execution
T1031,persistence
T1092,command-and-control
T1222,defense-evasion
T1179,persistence
T1179,privilege-escalation
T1179,credential-access
T1019,persistence
T1042,persistence
T1117,defense-evasion
T1117,execution
T1164,persistence
T1054,defense-evasion
T1108,defense-evasion
T1108,persistence
T1193,initial-access
T1215,persistence
T1101,persistence
T1177,execution
T1177,persistence
T1125,collection
T1144,defense-evasion
T1045,defense-evasion
T1016,discovery
T1198,defense-evasion
T1198,persistence
T1087,discovery
T1090,command-and-control
T1059,execution
T1482,discovery
T1175,lateral-movement
T1020,exfiltration
T1070,defense-evasion
T1083,discovery
T1138,persistence
T1138,privilege-escalation
T1191,defense-evasion
T1191,execution
T1188,command-and-control
T1074,collection
T1049,discovery
T1064,defense-evasion
T1064,execution
T1051,lateral-movement
T1497,defense-evasion
T1497,discovery
T1102,command-and-control
T1102,defense-evasion
T1104,command-and-control
T1480,defense-evasion
T1204,execution
T1196,defense-evasion
T1196,execution
T1057,discovery
T1141,credential-access
T1072,execution
T1072,lateral-movement
T1041,exfiltration
T1060,persistence
T1023,persistence
T1026,command-and-control
T1122,defense-evasion
T1122,persistence
T1015,persistence
T1015,privilege-escalation
T1212,credential-access
T1210,lateral-movement
T1142,credential-access
T1169,privilege-escalation
T1199,initial-access
T1149,defense-evasion
T1098,credential-access
T1098,persistence
T1170,defense-evasion
T1170,execution
T1048,exfiltration
T1097,lateral-movement
T1061,execution
T1110,credential-access
T1157,persistence
T1157,privilege-escalation
T1001,command-and-control
T1039,collection
T1078,defense-evasion
T1078,persistence
T1078,privilege-escalation
T1078,initial-access
T1073,defense-evasion
T1068,privilege-escalation
T1208,credential-access
T1027,defense-evasion
T1154,execution
T1154,persistence
T1201,discovery
T1187,credential-access
T1486,impact
T1488,impact
T1174,credential-access
T1002,exfiltration
T1081,credential-access
T1128,persistence
T1056,collection
T1056,credential-access
T1203,execution
T1168,persistence
T1168,execution
T1166,privilege-escalation
T1166,persistence
T1100,persistence
T1100,privilege-escalation
T1186,defense-evasion
T1184,lateral-movement
T1095,command-and-control
T1075,lateral-movement
T1012,discovery
T1030,exfiltration
T1028,execution
T1028,lateral-movement
T1034,persistence
T1034,privilege-escalation
T1499,impact
T1065,command-and-control
T1197,defense-evasion
T1197,persistence
T1088,defense-evasion
T1088,privilege-escalation
T1494,impact
T1493,impact
T1132,command-and-control
T1496,impact
T1147,defense-evasion
T1500,defense-evasion
T1223,defense-evasion
T1223,execution
T1213,collection
T1146,defense-evasion
T1194,initial-access
T1200,initial-access
T1485,impact
T1130,defense-evasion
T1022,exfiltration
T1189,initial-access
T1498,impact
T1158,defense-evasion
T1158,persistence
T1221,defense-evasion
T1134,defense-evasion
T1134,privilege-escalation
T1209,persistence
T1111,credential-access
T1159,persistence
T1136,persistence
T1151,defense-evasion
T1151,execution
T1018,discovery
T1046,discovery
T1052,exfiltration
T1105,command-and-control
T1105,lateral-movement
T1126,defense-evasion
T1084,persistence
T1160,persistence
T1160,privilege-escalation
T1484,defense-evasion
T1220,defense-evasion
T1220,execution
T1173,execution
T1008,command-and-control
T1096,defense-evasion
T1124,discovery
T1035,execution
T1086,execution
T1495,impact
T1490,impact
T1216,defense-evasion
T1216,execution
T1094,command-and-control
T1118,defense-evasion
T1118,execution
T1043,command-and-control
T1211,defense-evasion
T1127,defense-evasion
T1127,execution
T1077,lateral-movement
